,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 9,Votos recebidos
,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Dia 61,Final,Votos recebidos
Líder,Sergio,Adriano,Cristiana,Alessandra,Kleber,André,Vanessa,Sergio,André,(nenhum),
Indicado(Líder),Caetano,Helena,Bruno,Cristiana,Helena,Adriano,Estela,Alessandra,Sergio,(nenhum),
Indicado(Casa),Helena,Xaiane,Kleber,Estela,Alessandra,Vanessa,Kleber,Kleber,Kleber,(nenhum),
,,,,,,,,,,,
Kleber,Helena,Alessandra,Helena,Estela,Líder,Vanessa,André,André,Vanessa,Vencedor(Dia 64),23
Vanessa,Alessandra,Cristiana,Kleber,Estela,Alessandra,Kleber,Líder,Kleber,Kleber,2º lugar(Dia 64),5
André,Bruno,Kleber,Kleber,Kleber,Adriano,Líder,Kleber,Kleber,Líder,3º lugar(Dia 64),2
Sergio,Líder,Xaiane,Kleber,Estela,Alessandra,Kleber,Kleber,Líder,Kleber,Eliminado(Dia 62),1
Alessandra,Helena,Xaiane,Kleber,Estela,Adriano,Vanessa,Kleber,Kleber,Eliminada(Dia 57),Eliminada(Dia 57),10
Estela,Helena,Bruno,Kleber,Kleber,Alessandra,Vanessa,Kleber,Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),6
Adriano,Helena,Líder,Kleber,Kleber,Alessandra,Vanessa,Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),4
Helena,Alessandra,Xaiane,Kleber,Kleber,Adriano,Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),10
Cristiana,Bruno,Xaiane,Líder,Estela,Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),2
Bruno,Helena,Xaiane,Helena,Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),5
Xaiane,Bruno,Alessandra,Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),5
Caetano,Helena,Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),1
,,,,,,,,,,,
Notas,(nenhuma),(nenhuma),(nenhuma),"1, 2",(nenhuma),3,(nenhuma),(nenhuma),(nenhuma),4,
Paredão,CaetanoHelena,HelenaXaiane,BrunoKleber,CristianaEstela,AlessandraHelena,AdrianoVanessa,EstelaKleber,AlessandraKleber,KleberSergio,AndréKleberVanessa,
Eliminado,Caetano55%para eliminar,Xaiane77%para eliminar,Bruno53%para eliminar,Cristiana70%para eliminar,Helena51%para eliminar,Adriano74%para eliminar,Estela85%para eliminar,Alessandra73%para eliminar,Sergio52%para eliminar,André11%para vencer,
Eliminado,Caetano55%para eliminar,Xaiane77%para eliminar,Bruno53%para eliminar,Cristiana70%para eliminar,Helena51%para eliminar,Adriano74%para eliminar,Estela85%para eliminar,Alessandra73%para eliminar,Sergio52%para eliminar,Vanessa21%para vencer,
Eliminado,Caetano55%para eliminar,Xaiane77%para eliminar,Bruno53%para eliminar,Cristiana70%para eliminar,Helena51%para eliminar,Adriano74%para eliminar,Estela85%para eliminar,Alessandra73%para eliminar,Sergio52%para eliminar,Kleber68%para vencer,
Outras %,Helena45%para eliminar,Helena23%para eliminar,Kleber47%para eliminar,Estela30%para eliminar,Alessandra49%para eliminar,Vanessa26%para eliminar,Kleber15%para eliminar,Kleber27%para eliminar,Kleber48%para eliminar,Kleber68%para vencer,
