,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 10,Votos recebidos
,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Dia 68,Final,Votos recebidos
Líder,Jeferson,Rodrigo,Cida,Fabrício,Manuela,Cida,Tarciana,Thyrso,Rodrigo,Manuela,(nenhum),
Indicado(Líder),Cida,Tarciana,Fernando,Cida,Moisés,Thaís,Thyrso,Tarciana,Thyrso,CidaRodrigo,(nenhum),
Indicado(Casa),Rita,Tina,Thyrso,Jeferson,Cida,Manuela,Fabrício,Rodrigo,Cida,CidaRodrigo,(nenhum),
,,,,,,,,,,,,
Rodrigo,Rita,Líder,Jeferson,Jeferson,Cida,Manuela,Cida,Manuela,Líder,Paredão,Vencedor(Dia 71),4
Manuela,Rita,Tina,Jeferson,Jeferson,Líder,Rodrigo,Fabrício,Rodrigo,Cida,Líder,2º lugar(Dia 71),10
Cida,Thaís,Jeferson,Líder,Thaís,Fabrício,Líder,Fabrício,Rodrigo,Manuela,Paredão,Eliminada(Dia 69),10
Thyrso,Rita,Tina,Jeferson,Jeferson,Thaís,Tarciana,Fabrício,Rodrigo,Cida,Eliminado(Dia 64),Eliminado(Dia 64),11
Tarciana,Tina,Tina,Thyrso,Thyrso,Cida,Manuela,Líder,Manuela,Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),3
Fabrício,Thyrso,Tina,Thyrso,Líder,Cida,Manuela,Manuela,Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),4
Thaís,Tina,Tina,Thyrso,Thyrso,Cida,Manuela,Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),4
Moisés,Rita,Tina,Thyrso,Manuela,Cida,Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),2
Jeferson,Líder,Tina,Thyrso,Manuela,Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),8
Fernando,Rita,Tina,Thyrso,Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),1
Tina,Rita,Jeferson,Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),10
Rita,Moisés,Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),6
,,,,,,,,,,,,
Notas,(nenhuma),(nenhuma),(nenhuma),(nenhuma),(nenhuma),(nenhuma),(nenhuma),1,(nenhuma),2,3,
Paredão,CidaRita,TarcianaTina,FernandoThyrso,CidaJeferson,CidaMoisés,ManuelaThaís,FabrícioThyrso,RodrigoTarciana,CidaThyrso,CidaRodrigo,ManuelaRodrigo,
Eliminado,Rita55%para eliminar,Tina63%para eliminar,Fernando77%para eliminar,Jeferson62%para eliminar,Moisés54%para eliminar,Thaís73%para eliminar,Fabrício64%para eliminar,Tarciana70%para eliminar,Thyrso53%para eliminar,Cida59%para eliminar,Manuela35%para vencer,
Outras %,Cida45%para eliminar,Tarciana37%para eliminar,Thyrso23%para eliminar,Cida38%para eliminar,Cida46%para eliminar,Manuela27%para eliminar,Thyrso36%para eliminar,Rodrigo30%para eliminar,Cida47%para eliminar,Rodrigo41%para eliminar,Rodrigo65%para vencer,
