,Sem 1,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 11,Votos recebidos
,Mulher,Homem,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Dia 75,Final,Votos recebidos
Líder,Elane,Elane,Sabrina,Andréa,Juliana,Jean Massumi,Elane,Jean Massumi,Elane,Jean Massumi,Viviane,Dhomini,(nenhum),
Anjo,Marcelo,Marcelo,Dhomini,Juliana,Alan,Dhomini,Dhomini,Dhomini,Jean Massumi,Dhomini,(nenhum),(nenhum),(nenhum),
Imunizado,Dilson,Dilson,Juliana,Elane,Harry,Sabrina,Sabrina,Sabrina,Harry,Dhomini,(nenhum),(nenhum),(nenhum),
Indicado(Líder),Emilio,Emilio,Joseane,Dhomini,Jean Massumi,Juliana,Alan,Viviane,Sabrina,Elane,Jean Massumi,ElaneViviane,(nenhum),
Indicado(Casa),JulianaSamantha,Paulo,Andréa,Marcelo,Andréa,Dhomini,Dhomini,Emilio,Dhomini,Harry,Elane,ElaneViviane,(nenhum),
,,,,,,,,,,,,,,
Dhomini,Samantha,Nãoelegível,Andréa,Marcelo,Andréa,Harry,Emilio,Emilio,Jean Massumi,Harry,Nãoelegível,Líder,Vencedor(Dia 78),16
Elane,Líder,Líder,Andréa,Marcelo,Andréa,Dhomini,Líder,Emilio,Líder,Harry,Nãoelegível,Paredão,2º lugar(Dia 78),5
Viviane,Nãoelegível,Paulo,Andréa,Marcelo,Andréa,Emilio,Dhomini,Emilio,Dhomini,Harry,Líder,Paredão,Eliminada(Dia 76),5
Jean Massumi,Samantha,Nãoelegível,Andréa,Juliana,Dhomini,Líder,Dhomini,Líder,Dhomini,Líder,Elane,Eliminado(Dia 71),Eliminado(Dia 71),4
Harry,Ausente,Ausente,Ausente,Viviane,Viviane,Dhomini,Dhomini,Dhomini,Dhomini,Viviane,Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),7
Sabrina,Nãoelegível,Paulo,Líder,Marcelo,Andréa,Harry,Emilio,Harry,Viviane,Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),1
Emilio,Samantha,Nãoelegível,Andréa,Juliana,Elane,Dhomini,Dhomini,Elane,Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),8
Alan,Samantha,Nãoelegível,Andréa,Jean Massumi,Andréa,Dhomini,Emilio,Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),1
Juliana,Nãoelegível,Paulo,Marcelo,Marcelo,Líder,Harry,Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),6
Andréa,Nãoelegível,Paulo,Dhomini,Líder,Elane,Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),12
Marcelo,Juliana,Nãoelegível,Andréa,Juliana,Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),6
Joseane,Nãoelegível,Paulo,Dhomini,Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),1
Dilson,Samantha,Nãoelegível,Desistente(Dia 12),Desistente(Dia 12),Desistente(Dia 12),Desistente(Dia 12),Desistente(Dia 12),Desistente(Dia 12),Desistente(Dia 12),Desistente(Dia 12),Desistente(Dia 12),Desistente(Dia 12),Desistente(Dia 12),0
Paulo,Juliana,Nãoelegível,Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),6
Samantha,Nãoelegível,Paulo,Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),5
,,,,,,,,,,,,,,
Notas,1,1,2,(nenhuma),(nenhuma),(nenhuma),(nenhuma),(nenhuma),(nenhuma),3,4,5,6,
Paredão,JulianaSamantha,EmilioPaulo,AndréaJoseane,DhominiMarcelo,AndréaJean Massumi,DhominiJuliana,AlanDhomini,EmilioViviane,DhominiSabrina,ElaneHarry,ElaneJean Massumi,ElaneViviane,DhominiElane,
Desistente,(nenhum),(nenhum),Dilson,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Eliminado,Samantha79%para eliminar,Paulo55%para eliminar,Joseane64%para eliminar,Marcelo59%para eliminar,Andréa57%para eliminar,Juliana65%para eliminar,Alan57%para eliminar,Emilio76%para eliminar,Sabrina60%para eliminar,Harry67%para eliminar,Jean Massumi67%para eliminar,Viviane59%para eliminar,Elane49%para vencer,
Outras %,Juliana21%para eliminar,Emilio45%para eliminar,Andréa36%para eliminar,Dhomini41%para eliminar,Jean Massumi43%para eliminar,Dhomini35%para eliminar,Dhomini43%para eliminar,Viviane24%para eliminar,Dhomini40%para eliminar,Elane33%para eliminar,Elane33%para eliminar,Elane41%para eliminar,Dhomini51%para vencer,
