,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 11,Votos recebidos
,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Dia 76,Final,Votos recebidos
Líder,Natália,Sammy,Grazielli,Jean,Tatiane Pink,Tatiana,Grazielli,Karla,Grazielli,Alan,Sammy,(nenhum),
Anjo,(nenhum),Marcos,Paulo André,Alan,Alan,Natália,Aline,Sammy,Karla,Sammy,(nenhum),(nenhum),
Imunizado,(nenhum),Giulliano,Rogério,Paulo André,Natália,Aline,Alan,Tatiane Pink,Jean,Sammy,(nenhum),(nenhum),
Indicado(Líder),Juliana,Marcos,Giulliano,Rogério,Paulo André,Jean,Tatiana,Grazielli,Karla,Tatiane Pink,Alan,(nenhum),
Indicado(Casa),Jean,Jean,Tatiane Pink,Sammy,Aline,Natália,Aline,Aline,Alan,Jean,Jean,(nenhum),
,,,,,,,,,,,,,
Jean,Rogério,Paulo André,Paulo André,Líder,Alan,Natália,Aline,Aline,Alan,Grazielli,Nãoelegível,Vencedor(Dia 79),20
Grazielli,Marcos,Rogério,Líder,Karla,Aline,Natália,Líder,Aline,Líder,Jean,Nãoelegível,2º lugar(Dia 79),11
Sammy,Alan,Líder,Aline,Aline,Aline,Natália,Aline,Aline,Alan,Grazielli,Líder,3º lugar(Dia 79),8
Alan,Jean,Jean,Tatiane Pink,Sammy,Aline,Sammy,Karla,Sammy,Tatiane Pink,Jean,Jean,Eliminado(Dia 77),8
Tatiane Pink,Giulliano,Rogério,Alan,Alan,Líder,Natália,Aline,Aline,Alan,Jean,Eliminada(Dia 72),Eliminada(Dia 72),13
Karla,Grazielli,Grazielli,Tatiane Pink,Grazielli,Grazielli,Tatiane Pink,Jean,Líder,Tatiane Pink,Eliminada(Dia 65),Eliminada(Dia 65),Eliminada(Dia 65),3
Aline,Ausente,Ausente,Sammy,Sammy,Sammy,Tatiane Pink,Jean,Jean,Eliminada(Dia 58),Eliminada(Dia 58),Eliminada(Dia 58),Eliminada(Dia 58),13
Tatiana,Jean,Jean,Tatiane Pink,Grazielli,Grazielli,Líder,Tatiane Pink,Eliminada(Dia 51),Eliminada(Dia 51),Eliminada(Dia 51),Eliminada(Dia 51),Eliminada(Dia 51),2
