,Sem 1,Sem 1,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 11,Sem 12,Sem 12,Votos recebidos
,Dia 1,Repescagem,Dia 6,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Dia 75,Dia 76,Dia 81,Final,Votos recebidos
Líder,(nenhum),(nenhum),Alan PierreFlávia,Bruna,Fani,Diego,Fani,Bruna,Alberto,Bruna,Alberto,Carollini,Carollini,Diego,Diego,(nenhum),
Anjo,(nenhum),(nenhum),Diego,Felipe,Alberto,Íris,Bruna,Bruno,Íris,Analy,Airton,Alberto,(nenhum),(nenhum),(nenhum),(nenhum),
Imunizado,(nenhum),(nenhum),Alberto,Alberto,Fernando Luiz,Fani,Alberto,Carollini,Diego,Fani,Bruna,Bruna,(nenhum),(nenhum),(nenhum),(nenhum),
Poder doVeto,(nenhum),(nenhum),Bruno,Bruno,Felipe,Flávia,Bruno,AlbertoAnaly,Analy,Alberto,Analy,Analy,(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Líder),AirtonAlan PierreFláviaJuliana,(nenhum),Daniel,Fernando Luiz,Alan Pierre,Felipe,Fernando Luiz,Bruno,Íris,Flávia,Fani,Alberto,Airton,Analy,BrunaCarollini,(nenhum),
Indicado(Casa),AirtonAlan PierreFláviaJuliana,(nenhum),Bruno,Liane,Íris,Alberto,Diego,Íris,Diego,Diego,Diego,Analy,Diego,Carollini,BrunaCarollini,(nenhum),
,,,,,,,,,,,,,,,,,
Diego,Nãoelegível,CasaBBB,Carollini,Alan Pierre,Bruno,Líder,Airton,Alberto,Airton,Alberto,Airton,Analy,Bruna,Líder,Líder,Vencedor(Dia 85),22
Carollini,Nãoelegível,CasaBBB,Diego,Liane,Diego,Fernando Luiz,Diego,Íris,Diego,Diego,Diego,Líder,Líder,Nãoelegível,Paredão,2º lugar(Dia 85),5
Bruna,Nãoelegível,CasaBBB,Bruno,Líder,Bruno,Bruno,Diego,Íris,Diego,Líder,Diego,Diego,Diego,Nãoelegível,Paredão,Eliminada(Dia 83),2
Analy,Nãoelegível,CasaBBB,Liane,Liane,Íris,Fernando Luiz,Diego,Flávia,Diego,Diego,Airton,Diego,Diego,Carollini,Eliminada(Dia 78),Eliminada(Dia 78),8
Airton,Paredão,RepescagemBBB,Eliminado(Dia 3),Íris,Íris,Bruno,Íris,Íris,Diego,Diego,Diego,Analy,Analy,Eliminado(Dia 76),Eliminado(Dia 76),Eliminado(Dia 76),11
Alberto,Nãoelegível,CasaBBB,Íris,Íris,Íris,Íris,Íris,Íris,Líder,Diego,Diego,Analy,Eliminado(Dia 71),Eliminado(Dia 71),Eliminado(Dia 71),Eliminado(Dia 71),12
Fani,Nãoelegível,CasaBBB,Bruno,Alan Pierre,Líder,Alberto,Diego,Alberto,Carollini,Alberto,Airton,Eliminada(Dia 64),Eliminada(Dia 64),Eliminada(Dia 64),Eliminada(Dia 64),Eliminada(Dia 64),5
Flávia,Paredão,CasaBBB,Líder,Liane,Airton,Alberto,Bruno,Analy,Airton,Alberto,Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),3
Íris,Nãoelegível,CasaBBB,Felipe,Felipe,Airton,Analy,Airton,Alberto,Airton,Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),18
Bruno,Nãoelegível,CasaBBB,Fani,Liane,Alberto,Alberto,Bruna,Fani,Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),10
Fernando Luiz,Nãoelegível,CasaBBB,Bruno,Carollini,Carollini,Íris,Íris,Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),4
Felipe,Nãoelegível,CasaBBB,Analy,Íris,Íris,Flávia,Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),3
Alan Pierre,Paredão,CasaBBB,Líder,Fani,Alberto,Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),4
Liane,Nãoelegível,CasaBBB,Bruno,Alan Pierre,Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),5
Daniel,Nãoelegível,CasaBBB,Fani,Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),1
Juliana,Paredão,RepescagemBBB,Eliminada(Dia 3),Eliminada(Dia 3),Eliminada(Dia 3),Eliminada(Dia 3),Eliminada(Dia 3),Eliminada(Dia 3),Eliminada(Dia 3),Eliminada(Dia 3),Eliminada(Dia 3),Eliminada(Dia 3),Eliminada(Dia 3),Eliminada(Dia 3),Eliminada(Dia 3),Eliminada(Dia 3),0
