,,Sem 1,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 5,Sem 6,Sem 7,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 11,Sem 12,Sem 12,Votos recebidos
,,Bolha,Dia 8,Sem 2,Sem 3,Sem 4,Bolha,Dia 34,Sem 6,Dia 48,Dia 50,Sem 8,Sem 9,Sem 10,Dia 76,Dia 78,Dia 83,Final,Votos recebidos
Líder,Líder,(nenhum),Norberto,Newton,Emanuel,Priscila,(nenhum),Milena,Ana Carolina,Priscila,Maximiliano,Maximiliano,Milena,Josiane,Flávio,Ana Carolina,Priscila,(nenhum),
Anjo,Anjo,(nenhum),(nenhum),Ana Carolina,Josiane,Milena,(nenhum),Emanuel,André,Flávio,Naiá,Ana Carolina,Francine,Maximiliano,(nenhum),(nenhum),(nenhum),(nenhum),
Imunizado,Imunizado,(nenhum),(nenhum),Leonardo,Mirla,Maximiliano,(nenhum),Priscila,Milena,Milena,Maíra Cardi,Naiá,Ana Carolina,Francine,(nenhum),(nenhum),(nenhum),(nenhum),
Big Fone,Big Fone,(nenhum),(nenhum),Leonardo,Newton,Emanuel,(nenhum),Maximiliano,AndréMirla,Milena,Francine,FrancinePriscila,Priscila,Milena,Francine,FrancinePriscila,(nenhum),(nenhum),
Indicado(Big Fone),Indicado(Big Fone),(nenhum),(nenhum),Naiá,Alexandre,(nenhum),(nenhum),Emanuel,Naiá,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Líder),Indicado(Líder),(nenhum),Maximiliano,Ana Carolina,Maximiliano,Newton,(nenhum),Mirla,André,Mirla,Ralf,Maíra Cardi,Josiane,Milena,Ana Carolina,Flávio,Ana Carolina,(nenhum),
Indicado(Casa),Indicado(Casa),(nenhum),MichellePriscila,Norberto,Priscila,Ana Carolina,(nenhum),Ana Carolina,Josiane,Francine,Ana Carolina,Ana Carolina,Naiá,Maximiliano,Josiane,Priscila,Maximiliano,(nenhum),
,,,,,,,,,,,,,,,,,,,
,Maximiliano,CasaBBB,Michelle,Ralf,Ana Carolina,Ana Carolina,CasaBBB,Emanuel,Josiane,Maíra Cardi,Líder,Líder,Naiá,Priscila,Josiane,Priscila,Nãoelegível,Vencedor(Dia 85),14
,Priscila,CasaBBB,Michelle,Norberto,Naiá,Líder,CasaBBB,Ana Carolina,Josiane,Líder,Ana Carolina,Ana Carolina,NaiáMaximiliano,Maximiliano,Maximiliano,Maximiliano,Líder,2º lugar(Dia 85),15
,Francine,CasaBBB,Michelle,Ralf,Naiá,Josiane,CasaBBB,Emanuel,Josiane,Maíra Cardi,Josiane,Ana Carolina,Naiá,Flávio,Josiane,Priscila,Nãoelegível,3º lugar(Dia 85),16
,Ana Carolina,CasaBBB,Mirla,Milena,Josiane,Flávio,CasaBBB,Ralf,Líder,Maximiliano,Flávio,Milena,Priscila,Maximiliano,Priscila,Líder,Maximiliano,Eliminada(Dia 83),23
,Flávio,CasaBBB,Michelle,Norberto,Ana Carolina,Ana Carolina,CasaBBB,Emanuel,Mirla,Ana Carolina,Ana Carolina,Ana Carolina,Naiá,Maximiliano,Líder,Francine,Eliminado(Dia 78),Eliminado(Dia 78),6
