,,Sem 1,Sem 1,Sem 2,Sem 3,Sem 4,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 10,Sem 11,Sem 11,Sem 11,Votosrecebidos
,,Dia 1,Dia 3,Sem 2,Sem 3,Dia 25,Dia 27,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Dia 67,Dia 69,Dia 74,Dia 75,Final,Votosrecebidos
Líder,Líder,Joseane,Sérgio,Cadu,Lia,Cadu,Michel,Eliéser,Eliéser,Michel,Fernanda,Fernanda,Cadu,Cadu,Fernanda,Cadu,(nenhum),
Anjo,Anjo,(nenhum),Joseane,Uilliam,Anamara,Fernanda,(nenhum),Elenita,Dourado,Cláudia,Lia,Cadu,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Imunizado,Imunizado,(nenhum),Dourado,Eliéser,Elenita,Lia,(nenhum),Michel,Lia,Eliéser,Lia,Lia,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Big Fone,Big Fone,(nenhum),Eliéser,Ana Marcela,Anamara,(nenhum),(nenhum),AnamaraDourado,Angélica,Dourado,Dicesar,Dicesar,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Big Fone),Indicado(Big Fone),(nenhum),(nenhum),Ana Marcela,Anamara,(nenhum),(nenhum),Anamara,Angélica,Cláudia,Dourado,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Líder),Indicado(Líder),Elenita,Cláudia,Alex,Tessália,Alex,Lia,Lia,Dourado,Lia,Eliéser,Michel,Dicesar,Anamara,Dicesar,Fernanda,(nenhum),
Indicado(Casa),Indicado(Casa),(nenhum),Joseane,Angélica,Alex,DouradoEliéserFernanda,DouradoUilliam,Elenita,Dicesar,Dourado,Dicesar,Anamara,Sérgio,Lia,Dourado,Lia,(nenhum),
,,,,,,,,,,,,,,,,,,
,Dourado,Nãoelegível,Eliéser,Angélica,Eliéser,Eliéser,Uilliam,Elenita,Dicesar,Nãoelegível,Dicesar,Sérgio,Sérgio,Dicesar,Lia,Nãoelegível,Vencedor(Dia 78),22
,Fernanda,Imune,Tessália,Angélica,Alex,Uilliam,Uilliam,Elenita,Michel,Sérgio,Líder,Líder,Lia,Lia,Líder,Lia,2º lugar(Dia 78),15
,Cadu,Nãoelegível,Anamara,Líder,Alex,Líder,Uilliam,Elenita,Dicesar,Anamara,Dicesar,Anamara,Líder,Líder,Dourado,Líder,3º lugar(Dia 78),3
,Lia,Nãoelegível,Anamara,Elenita,Líder,Uilliam,Uilliam,Elenita,Dicesar,Fernanda,Dicesar,Anamara,Fernanda,Fernanda,Dourado,Nãoelegível,Eliminada(Dia 76),12
,Dicesar,Nãoelegível,Tessália,Michel,Alex,Dourado,Uilliam,Cadu,Anamara,Dourado,Nãoelegível,Anamara,Dourado,Lia,Dourado,Eliminado(Dia 75),Eliminado(Dia 75),13
,Anamara,Nãoelegível,Lia,Michel,Dourado,Dourado,Dourado,Dicesar,Dicesar,Dourado,Dicesar,Sérgio,Sérgio,Lia,Eliminada(Dia 71),Eliminada(Dia 71),Eliminada(Dia 71),18
,Sérgio,Nãoelegível,Líder,Anamara,Alex,Dourado,Uilliam,Elenita,Anamara,Anamara,Anamara,Anamara,Anamara,Eliminado(Dia 69),Eliminado(Dia 69),Eliminado(Dia 69),Eliminado(Dia 69),6
,Michel,Nãoelegível,Joseane,Angélica,Uilliam,Fernanda,Líder,Fernanda,Fernanda,Líder,Anamara,Anamara,Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),6
,Eliéser,Imune,Joseane,Angélica,Dourado,Fernanda,Dourado,Líder,Líder,Dourado,Anamara,Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),7
,Cláudia,Nãoelegível,Lia,Sérgio,Uilliam,Uilliam,Dourado,Cadu,Fernanda,Dourado,Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),2
,Angélica,Nãoelegível,Joseane,Michel,Eliéser,Eliéser,Eliéser,Elenita,Fernanda,Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),4
,Elenita,Nãoelegível,Lia,Dicesar,Fernanda,Dourado,Dourado,Cadu,Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),9
,Uilliam,Imune,Michel,Elenita,Dourado,Fernanda,Dourado,Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),11
,Alex,Nãoelegível,Joseane,Anamara,Fernanda,Fernanda,Eliminado(Dia 27),Eliminado(Dia 27),Eliminado(Dia 27),Eliminado(Dia 27),Eliminado(Dia 27),Eliminado(Dia 27),Eliminado(Dia 27),Eliminado(Dia 27),Eliminado(Dia 27),Eliminado(Dia 27),Eliminado(Dia 27),6
