,,Sem 1,Sem 2,Sem 3,Sem 3,Sem 3,Sem 4,Sem 4,Sem 5,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 9,Sem 10,Sem 10,Sem 11,Sem 11,Votos recebidos
,,Sem 1,Sem 2,Dia 18,Dia 18,Dia 20,Bolha,Dia 27,Dia 32,Dia 34,Sem 6,Sem 7,Sem 8,Dia 60,Dia 62,Dia 67,Dia 69,Dia 75,Final,Votos recebidos
,,Sem 1,Sem 2,Homem,Mulher,Dia 20,Bolha,Dia 27,Dia 32,Dia 34,Sem 6,Sem 7,Sem 8,Dia 60,Dia 62,Dia 67,Dia 69,Dia 75,Final,Votos recebidos
Líder,Líder,Cristiano,Natália,Igor,Igor,Talula,(nenhum),Jaqueline,Wesley,Talula,Maria,Daniel,Rodrigão,Paula,Daniel,Rodrigão,Wesley,Daniel,(nenhum),
Anjo,Anjo,Natália,Daniel,Maria,Maria,(nenhum),(nenhum),Daniel,Maurício,(nenhum),Paula,Janaína,Diana,Maurício,(nenhum),(nenhum),Wesley,(nenhum),(nenhum),
Imunizado,Imunizado,Rodrigão,Talula,Talula,Talula,(nenhum),(nenhum),Lucival,Rodrigão,(nenhum),Maurício,Diana,Diana,Rodrigão,(nenhum),(nenhum),Maria,(nenhum),(nenhum),
Big Fone,Big Fone,Rodrigão,Maurício,Natália,Natália,(nenhum),(nenhum),(nenhum),Adriana,(nenhum),Rodrigão,(nenhum),Jaqueline,Daniel,(nenhum),Maria,(nenhum),(nenhum),(nenhum),
Indicado(Big Fone),Indicado(Big Fone),Lucival,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),Diana,(nenhum),Rodrigão,(nenhum),Wesley,Maurício,(nenhum),Paula,DanielDianaRodrigão,DianaMariaWesley,(nenhum),
Indicado(Líder),Indicado(Líder),Ariadna,Maurício,Rodrigo,Maria,Igor,(nenhum),Cristiano,Natália,Adriana,Adriana,Diogo,Talula,Wesley,Jaqueline,Diana,DanielDianaRodrigão,DianaMariaWesley,(nenhum),
Indicado(Casa),Indicado(Casa),Janaína,Diogo,Rodrigão,Michelly,Diana,(nenhum),Rodrigão,Lucival,Natália,Wesley,Paula,Daniel,Diana,Rodrigão,Wesley,DanielDianaRodrigão,DianaMariaWesley,(nenhum),
,,,,,,,,,,,,,,,,,,,,,,
,Maria,Janaína,Michelly,Lucival,Michelly,Natália,CasaBBB,Janaína,Lucival,Natália,Wesley,Wesley,Maurício,Diana,Rodrigão,Wesley,Salva,Paredão,Vencedora(Dia 78),6
,Wesley,Ausente,Ausente,Ausente,Ausente,Ausente,CasaBBB,Natália,Líder,Natália,Janaína,Paula,Jaqueline,Jaqueline,Paula,Daniel,Líder,Paredão,2º lugar(Dia 78),18
,Daniel,Diogo,Diogo,Rodrigão,Natália,Natália,CasaBBB,Rodrigão,Diogo,Diogo,Diogo,Líder,Paula,Jaqueline,Rodrigão,Wesley,Paredão,Líder,3º lugar(Dia 78),7
,Diana,Diogo,Diogo,Rodrigão,Michelly,Cristiano,CasaBBB,Rodrigão,Adriana,Wesley,Wesley,Maurício,Maurício,Jaqueline,Rodrigão,Maria,Paredão,Paredão,Eliminada(Dia 76),23
,Rodrigão,Nãoelegível,Michelly,Diogo,Diana,Diana,CasaBBB,Paula,Lucival,Natália,Diana,Paula,Daniel,Diana,Diana,Líder,Paredão,Eliminado(Dia 71),Eliminado(Dia 71),21
,Paula,Diogo,Diogo,Rodrigão,Diana,Janaína,CasaBBB,Rodrigão,Diogo,Rodrigão,Janaína,Rodrigão,Daniel,Líder,Wesley,Wesley,Eliminada(Dia 69),Eliminada(Dia 69),Eliminada(Dia 69),11
,Jaqueline,Janaína,Diogo,Cristiano,Michelly,Cristiano,CasaBBB,Líder,Lucival,Wesley,Wesley,Wesley,Daniel,Diana,Wesley,Eliminada(Dia 64),Eliminada(Dia 64),Eliminada(Dia 64),Eliminada(Dia 64),11
,Maurício,Janaína,Michelly,Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),BolhaBBB,Eliminado(Dia 15),Lucival,Natália,Diana,Talula,Daniel,Diana,Eliminado(Dia 62),Eliminado(Dia 62),Eliminado(Dia 62),Eliminado(Dia 62),Eliminado(Dia 62),7
,Talula,Janaína,Cristiano,Rodrigão,Michelly,Líder,CasaBBB,Rodrigão,Adriana,Líder,Janaína,Wesley,Maurício,Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),2
,Janaína,Rodrigo,Rodrigão,Rodrigão,Paula,Cristiano,CasaBBB,Rodrigão,Maria,Jaqueline,Wesley,Paula,Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),12
,Diogo,Diana,Diana,Daniel,Diana,Diana,CasaBBB,Paula,Lucival,Natália,Paula,Paula,Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),15
,Adriana,Ausente,Ausente,Ausente,Ausente,Ausente,CasaBBB,Diana,Lucival,Paula,Diana,Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),4
,Natália,Maurício,Diogo,Diogo,Jaqueline,Maria,CasaBBB,Rodrigão,Diogo,Wesley,Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),10
,Lucival,Rodrigo,Rodrigão,Rodrigão,Jaqueline,Jaqueline,CasaBBB,Rodrigão,Jaqueline,Eliminado(Dia 34),Eliminado(Dia 34),Eliminado(Dia 34),Eliminado(Dia 34),Eliminado(Dia 34),Eliminado(Dia 34),Eliminado(Dia 34),Eliminado(Dia 34),Eliminado(Dia 34),Eliminado(Dia 34),8
,Cristiano,Líder,Rodrigo,Diogo,Diana,Diana,CasaBBB,Diana,Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),6
,Igor,Diana,Rodrigo,Líder,Líder,Diana,BolhaBBB,Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),1
,Michelly,Maria,Maria,Rodrigão,Jaqueline,Eliminada(Dia 20),BolhaBBB,Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),9
