,,Sem 1,Sem 1,Sem 2,Sem 3,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 8,Sem 9,Sem 10,Sem 10,Sem 11,Sem 11,Votos recebidos
,,Bolha,Dia 6,Sem 2,Dia 18,Dia 20,Sem 4,Sem 5,Sem 6,Sem 7,Dia 53,Dia 55,Sem 9,Dia 67,Dia 69,Dia 75,Final,Votos recebidos
Líder,Líder,(nenhum),BambamFani,Ivan,Eliéser,Anamara,Marien,Kamilla,Anamara,André,Nasser,Kamilla,Fernanda,André,Nasser,Andressa,(nenhum),
Anjo,Anjo,(nenhum),(nenhum),Marcello,(nenhum),Eliéser,Nasser,Anamara,Natália,Nasser,(nenhum),(nenhum),Natália,(nenhum),(nenhum),(nenhum),(nenhum),
Imunizado,Imunizado,(nenhum),(nenhum),Kamilla,(nenhum),Natália,Nasser,Nasser,André,Andressa,(nenhum),(nenhum),Natália,(nenhum),(nenhum),(nenhum),(nenhum),
Big Fone,Big Fone,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),Eliéser,Nasser,Marcello,Eliéser,André,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Big Fone),Indicado(Big Fone),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),Eliéser,Eliéser,Eliéser,Marcello,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Líder),Indicado(Líder),(nenhum),Aline,Anamara,Anamara,Aslan,Fani,Marien,Kamilla,Marcello,Fani,Nasser,Nasser,Nasser,André,Natália,(nenhum),
Indicado(Casa),Indicado(Casa),(nenhum),Ivan,Dhomini,Marcello,Marcello,MarcelloYuri,Fernanda,Ivan,Nasser,Kamilla,AnamaraFani,Andressa,Fani,Fernanda,Fernanda,(nenhum),
,,,,,,,,,,,,,,,,,,
,Fernanda,CasaBBB,Ivan,Marcello,Marcello,Marcello,Yuri,Fani,Ivan,Nasser,Anamara,Anamara,Líder,Fani,Natália,Nãoelegível,Vencedora(Dia 78),14
,Nasser,CasaBBB,Aslan,Dhomini,Kamilla,Kamilla,Marcello,Fernanda,Fani,Fani,Kamilla,Fani,Fani,Fani,Fernanda,Nãoelegível,2º lugar(Dia 78),8
,Andressa,CasaBBB,André,Yuri,Marcello,Kamilla,Yuri,André,Marcello,Fani,Kamilla,Fani,Fani,Fani,Fernanda,Líder,3º lugar(Dia 78),7
,Natália,CasaBBB,Fernanda,André,Marcello,Marcello,Marcello,Marcello,Marcello,Kamilla,Kamilla,Fernanda,André,Fernanda,Fernanda,Fernanda,Eliminada(Dia 76),6
,André,CasaBBB,Ivan,Dhomini,Marien,Marcello,Anamara,Fani,Ivan,Líder,Anamara,Anamara,Andressa,Líder,Natália,Eliminado(Dia 71),Eliminado(Dia 71),12
,Fani,CasaBBB,Líder,Dhomini,Fernanda,Marien,André,Fernanda,Marcello,Nasser,Andressa,Andressa,Andressa,Andressa,Eliminada(Dia 69),Eliminada(Dia 69),Eliminada(Dia 69),16
,Kamilla,BolhaBBB,Ausente,Marien,Marien,Yuri,Yuri,Líder,Ivan,Nasser,Anamara,Líder,Andressa,Eliminada(Dia 64),Eliminada(Dia 64),Eliminada(Dia 64),Eliminada(Dia 64),15
,Anamara,CasaBBB,Ivan,Nasser,Marcello,Marcello,Marcello,Marcello,Líder,Kamilla,Kamilla,André,Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),9
