,,Sem 1,Sem 1,Sem 1,Sem 2,Sem 2,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 10,Sem 11,Sem 11,Sem 11,Votos recebidos
,,Dia 2,Dia 5,Dia 7,Dia 8,Dia 11,Dia 14,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Dia 67,Dia 69,Dia 71,Dia 75,Final,Votos recebidos
Líder,Líder,Amanda,Valter,Tatiele,Cássio,Letícia,Roni,Cássio,Marcelo,Clara,Aline,Tatiele,Valter,Cássio,Vanessa,Valter,Marcelo,Angela,(nenhum),
Anjo,Anjo,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),Aline,Junior,Marcelo,Angela,Valter,Tatiele,Marcelo,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Imunizado,Imunizado,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),Valter,Cássio,Roni,Valter,Cássio,Tatiele,Tatiele,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Big Fone,Big Fone,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),Vanessa,Aline,Diego,(nenhum),(nenhum),(nenhum),Cássio,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Big Fone),Indicado(Big Fone),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),Marcelo,Aline,Diego,(nenhum),(nenhum),(nenhum),Vanessa,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Líder),Indicado(Líder),Valter,Alisson,Angela,Marcelo,Diego,Franciele,Vanessa,Junior,Letícia,Diego,Franciele,Aline,Marcelo,Cássio,Tatiele,Valter,Vanessa,(nenhum),
Indicado(Casa),Indicado(Casa),DiegoJoão,AmandaPrincy,AlineRodrigo,PrincyVanessa,BellaFranciele,CássioVagner,Amanda,Vanessa,Cássio,Roni,Angela,Marcelo,Diego,Marcelo,Marcelo,Clara,Marcelo,(nenhum),
,,,,,,,,,,,,,,,,,,,,
,Vanessa,João,Princy,Aline,Princy,Franciele,Cássio,Aline,Franciele,Cássio,Franciele,Angela,Diego,Diego,Líder,Marcelo,Angela,Marcelo,Vencedora(Dia 78),25
,Angela,Diego,Roni,Rodrigo,Tatiele,Franciele,Diego,Diego,Clara,Cássio,Roni,Clara,Clara,Diego,Clara,Vanessa,Clara,Líder,2º lugar(Dia 78),12
,Clara,João,Princy,Aline,Princy,Franciele,Aline,Aline,Franciele,Cássio,Roni,Angela,Marcelo,Diego,Marcelo,Marcelo,Angela,Nãoelegível,3º lugar(Dia 78),18
,Marcelo,Clara,Rodrigo,Cássio,Vanessa,Vagner,Junior,Junior,Vanessa,Vanessa,Vanessa,Valter,Cássio,Valter,Valter,Clara,Clara,Nãoelegível,Eliminado(Dia 76),18
,Valter,Cássio,Líder,Rodrigo,Roni,Amanda,Vagner,Amanda,Vanessa,Marcelo,Roni,Marcelo,Líder,Clara,Marcelo,Marcelo,Clara,Eliminado(Dia 73),Eliminado(Dia 73),7
,Tatiele,Clara,Princy,Rodrigo,Franciele,Franciele,Vagner,Franciele,Franciele,Aline,Franciele,Líder,Diego,Valter,Valter,Clara,Eliminada(Dia 71),Eliminada(Dia 71),Eliminada(Dia 71),5
,Cássio,Letícia,Marcelo,Marcelo,Líder,Clara,Vanessa,Líder,Vanessa,Vanessa,Angela,Marcelo,Marcelo,Líder,Marcelo,Eliminado(Dia 69),Eliminado(Dia 69),Eliminado(Dia 69),Eliminado(Dia 69),13
