,,Sem 1,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 11,Sem 11,Votos recebidos
,,Dia 3,Dia 6,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Dia 73,Dia 75,Final,Votos recebidos
Líder,Líder,(nenhum),AlanDanielRonanTamiel,Daniel,Juliana,Munik,RenanTamiel,RenanTamiel,Renan,Munik,Maria Claudia,(nenhum),Maria Claudia,(nenhum),(nenhum),
Anjo,Anjo,(nenhum),Adélia,Tamiel,Matheus,Juliana,Ana Paula,Maria Claudia,Matheus,Matheus,Matheus,(nenhum),(nenhum),(nenhum),(nenhum),
Imunizado,Imunizado,(nenhum),Juliana,Adélia,Maria Claudia,Renan,Ronan,Adélia,Geralda,Maria Claudia,Maria Claudia,(nenhum),(nenhum),(nenhum),(nenhum),
Big Fone,Big Fone,(nenhum),(nenhum),Ronan,(nenhum),(nenhum),(nenhum),Tamiel,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Big Fone),Indicado(Big Fone),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),Ana Paula,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),MunikRonan,(nenhum),
Indicado(Líder),Indicado(Líder),(nenhum),Harumi,Ana Paula,Ana Paula,Daniel,Ana Paula,Munik,Ronan,Renan,Geralda,(nenhum),Geralda,MunikRonan,(nenhum),
Indicado(Casa),Indicado(Casa),(nenhum),Daniel,Laércio,Ronan,Ronan,Juliana,Tamiel,Munik,Ronan,Matheus,(nenhum),Ronan,MunikRonan,(nenhum),
,,,,,,,,,,,,,,,,,,,
,Munik,Nãoelegível,Alan,Daniel,Daniel,Líder,Juliana,Tamiel,Renan,Líder,Matheus,SemParedão,Nãoelegível,Paredão,Vencedora(Dia 78),8
,Maria Claudia,Nãoelegível,Daniel,Laércio,Ronan,Ronan,Geralda,Geralda,Munik,Ronan,Líder,SemParedão,Líder,Finalista,2º lugar(Dia 78),1
,Ronan,Nãoelegível,Líder,Laércio,Juliana,Tamiel,Juliana,Tamiel,Renan,Matheus,Matheus,SemParedão,Nãoelegível,Paredão,Eliminado(Dia 76),18
,Geralda,Indicada,Laércio,Daniel,Daniel,Tamiel,Juliana,Maria Claudia,Renan,Matheus,Matheus,SemParedão,Ronan,Eliminada(Dia 74),Eliminada(Dia 74),6
,Matheus,Indicado,Daniel,Laércio,Ronan,Tamiel,Juliana,Ronan,Munik,Ronan,Ronan,Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),7
,Renan,Nãoelegível,Ana Paula,Laércio,Ronan,Ronan,Líder,Líder,Munik,Ronan,Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),4
,Adélia,Nãoelegível,Alan,Laércio,Ronan,Ronan,Munik,Ronan,Munik,Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),2
,Ana Paula,Nãoelegível,Daniel,Laércio,Juliana,Tamiel,Juliana,Tamiel,Expulsa(Dia 47),Expulsa(Dia 47),Expulsa(Dia 47),Expulsa(Dia 47),Expulsa(Dia 47),Expulsa(Dia 47),Expulsa(Dia 47),4
,Tamiel,Nãoelegível,Líder,Geralda,Matheus,Ronan,Líder,Líder,Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),7
,Juliana,Nãoelegível,Alan,Laércio,Líder,Ronan,Munik,Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),7
,Daniel,Nãoelegível,Líder,Líder,Ronan,Ronan,Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),9
,Alan,Nãoelegível,Líder,Munik,Desistente(Dia 18),Desistente(Dia 18),Desistente(Dia 18),Desistente(Dia 18),Desistente(Dia 18),Desistente(Dia 18),Desistente(Dia 18),Desistente(Dia 18),Desistente(Dia 18),Desistente(Dia 18),Desistente(Dia 18),3
,Laércio,Nãoelegível,Adélia,Matheus,Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),8
,Harumi,Nãoelegível,Daniel,Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),1
,Fernanda,Indicada,Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),0
,William,Indicado,Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),0
,,,,,,,,,,,,,,,,,,
Notas,Notas,1,"2, 3",4,"5, 6",7,"8, 9","10, 11","12, 13, 14",15,(nenhuma),16,17,18,19,
Paredão,Paredão,MatheusWilliam,DanielHarumi,Ana PaulaLaércio,Ana PaulaRonan,DanielRonan,Ana PaulaJuliana,Ana PaulaMunikTamiel,AdéliaMunikRonan,GeraldaRenanRonan,GeraldaMatheus,(nenhum),GeraldaRonan,MunikRonan,Maria ClaudiaMunik,
Paredão,Paredão,FernandaGeralda,DanielHarumi,Ana PaulaLaércio,Ana PaulaRonan,DanielRonan,Ana PaulaJuliana,Ana PaulaMunikTamiel,AdéliaMunikRonan,GeraldaRenanRonan,GeraldaMatheus,(nenhum),GeraldaRonan,MunikRonan,Maria ClaudiaMunik,
Desistente,Desistente,(nenhum),(nenhum),(nenhum),Alan,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Expulso,Expulso,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),Ana Paula,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Eliminado,Eliminado,William39%para continuar,Harumi65%para eliminar,Laércio54%para eliminar,Ana Paula74%para beneficiar,Daniel53%para eliminar,Juliana6 de 6 pontospara eliminar,Tamiel6 de 6 pontospara eliminar,Adélia6 de 6 pontospara eliminar,Renan6 de 6 pontospara eliminar,Matheus6 de 6 pontospara eliminar,Semeliminação,Geralda5 de 6 pontospara eliminar,Ronan6 de 6 pontospara eliminar,Maria Claudia0 de 6 pontospara vencer,
Eliminado,Eliminado,Fernanda47%para continuar,Harumi65%para eliminar,Laércio54%para eliminar,Ana Paula74%para beneficiar,Daniel53%para eliminar,Juliana6 de 6 pontospara eliminar,Tamiel6 de 6 pontospara eliminar,Adélia6 de 6 pontospara eliminar,Renan6 de 6 pontospara eliminar,Matheus6 de 6 pontospara eliminar,Semeliminação,Geralda5 de 6 pontospara eliminar,Ronan6 de 6 pontospara eliminar,Maria Claudia0 de 6 pontospara vencer,
Outras %ou Pontos,Outras %ou Pontos,Matheus61%para continuar,Daniel35%para eliminar,Ana Paula46%para eliminar,Ronan26%para beneficiar,Ronan47%para eliminar,Ana Paula0 de 6 pontospara eliminar,Ana Paula0 de 6 pontospara eliminar,Ronan0 de 6 pontospara eliminar,Geralda0 de 6 pontospara eliminar,Geralda0 de 6 pontospara eliminar,Semeliminação,Ronan1 de 6 pontospara eliminar,Munik0 de 6 pontospara eliminar,Munik6 de 6 pontospara vencer,
Outras %ou Pontos,Outras %ou Pontos,Geralda53%para continuar,Daniel35%para eliminar,Ana Paula46%para eliminar,Ronan26%para beneficiar,Ronan47%para eliminar,Ana Paula0 de 6 pontospara eliminar,Munik0 de 6 pontospara eliminar,Munik0 de 6 pontospara eliminar,Ronan0 de 6 pontospara eliminar,Geralda0 de 6 pontospara eliminar,Semeliminação,Ronan1 de 6 pontospara eliminar,Munik0 de 6 pontospara eliminar,Munik6 de 6 pontospara vencer,
