,,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 10,Sem 11,Sem 12,Sem 13,Sem 13,Sem 13,Sem 14,Sem 14,Sem 14,Votos recebidos
,,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 10,Sem 11,Sem 12,Dia 86,Dia 88,Dia 91,Dia 93,Dia 96,Final,Votos recebidos
Líder,Líder,Nego Di,Arthur,Karol,Sarah,João Luiz,Rodolffo,Fiuk,Gilberto,Arthur,Viih Tube,Viih Tube,Caio,Viih Tube,Gilberto,Pocah,Gilberto,Juliette,(nenhum),(nenhum),
Anjo,Anjo,Rodolffo,Carla,Caio,Caio,Caio,Arthur,Projota,Viih Tube,Thaís,FiukGilberto,FiukGilberto,João Luiz,Camilla,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Imunizado,Imunizado,Caio,Camilla,Rodolffo,Rodolffo,Caio,Projota,Arthur,Thaís,Viih Tube,João Luiz,João Luiz,Camilla,Camilla,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Big Fone,Big Fone,ArcrebianoJoão Luiz,ArcrebianoGilbertoThaís,(nenhum),(nenhum),Carla,(nenhum),(nenhum),(nenhum),Gilberto,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Big Fone),Indicado(Big Fone),ArcrebianoRodolffoSarah,JulietteKarolThaís,(nenhum),(nenhum),FiukLumenaRodolffo,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),CamillaGilbertoJuliette,(nenhum),
Indicado(Contragolpe),Indicado(Contragolpe),(nenhum),(nenhum),Nego Di,(nenhum),(nenhum),CaioPocah,(nenhum),(nenhum),RodolffoThaís,Juliette,Juliette,(nenhum),(nenhum),(nenhum),Fiuk,Pocah,(nenhum),CamillaGilbertoJuliette,(nenhum),
Indicado(Líder),Indicado(Líder),Kerline,Gilberto,Sarah,Karol,Projota,CarlaJoão Luiz,Projota,Rodolffo,Juliette,Gilberto,Gilberto,Thaís,FiukGilberto,Pocah,Gilberto,Camilla,Pocah,CamillaGilbertoJuliette,(nenhum),
Indicado(Casa),Indicado(Casa),Arcrebiano,Arcrebiano,Fiuk,GilbertoProjota,Arthur,Arthur,GilbertoPocahThaís,Caio,Sarah,Rodolffo,Caio,ArthurPocah,ArthurCaio,ArthurJoão Luiz,Viih Tube,Arthur,CamillaGilberto,CamillaGilbertoJuliette,(nenhum),
Bate e Volta(Indicados),Bate e Volta(Indicados),ArcrebianoRodolffoSarah,ArcrebianoJulietteKarol,(nenhum),ArthurGilbertoProjota,ArthurLumenaRodolffo,ArthurCaioPocah,GilbertoPocahThaís,CaioCarlaFiuk,RodolffoSarahThaís,CaioJulietteRodolffo,CaioJulietteRodolffo,ArthurFiukPocah,ArthurCaio,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Bate e Volta(Salvo),Bate e Volta(Salvo),Arcrebiano,Karol,(nenhum),Projota,Rodolffo,Pocah,Gilberto,Caio,Thaís,Juliette,Juliette,Pocah,Arthur,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
,,,,,,,,,,,,,,,,,,,,(nenhum),,,
,Juliette,Thaís,Nego Di,Lumena,Lumena,Arthur,Arthur,Pocah,Arthur,Sarah,Rodolffo,Caio,Arthur,ArthurCaio,Arthur,Arthur,Arthur,Líder,Paredão,Vencedora(Dia 100),22
,Camilla,Arcrebiano,Arcrebiano,Caio,Projota,Arthur,Caio,Caio,Caio,Rodolffo,Rodolffo,Caio,Pocah,ArthurCaio,Arthur,Arthur,Arthur,Paredão,Paredão,2º lugar(Dia 100),7
,Fiuk,Carla,Arcrebiano,Arthur,Carla,Arthur,Arthur,Líder,Arthur,Pocah,Arthur,Arthur,Arthur,PocahCaio,Viih Tube,Viih Tube,Arthur,Salvo,Finalista,3º lugar(Dia 100),13
,Gilberto,Arcrebiano,Lumena,Arthur,Projota,Pocah,Pocah,Pocah,Caio,Rodolffo,Rodolffo,Pocah,Pocah,PocahArthur,Líder,Viih Tube,Líder,Paredão,Paredão,Eliminado(Dia 98),16
,Pocah,Arcrebiano,Arcrebiano,Gilberto,Gilberto,Sarah,Fiuk,Gilberto,Juliette,Sarah,Juliette,Juliette,Gilberto,João LuizJuliette,João Luiz,Líder,Fiuk,Paredão,Eliminada(Dia 95),Eliminada(Dia 95),22
,Arthur,Camilla,Líder,Fiuk,Gilberto,Thaís,Juliette,Thaís(×2),Viih Tube,Líder,Juliette,Juliette,Gilberto,JulietteJoão Luiz,João Luiz,Viih Tube,Juliette,Eliminado(Dia 93),Eliminado(Dia 93),Eliminado(Dia 93),35
,Viih Tube,Arcrebiano,Lumena,Fiuk,Projota,Arthur,Pocah,Gilberto,Caio,Sarah,Rodolffo,Caio,Arthur,Caio,Arthur,Fiuk,Eliminada(Dia 91),Eliminada(Dia 91),Eliminada(Dia 91),Eliminada(Dia 91),5
